Kernel,DataType,Size,Alignment,HasTail,ScalarTime,SIMDTime,Speedup,GFLOPs,BandwidthGBs
SAXPY,float32,1027,aligned,yes,6.38e-05,6.38e-05,1,32.1944,179.9
SAXPY,float32,1024,aligned,no,6.18e-05,6.185e-05,0.999192,33.1124,185.03
SAXPY,float32,1027,misaligned,yes,9.59e-05,9.5e-05,1.00947,21.6211,120.817
SAXPY,float32,1024,misaligned,no,9.24667e-05,9.26e-05,0.99856,22.1166,123.586
SAXPY,float32,4099,aligned,yes,0.0002543,0.0002518,1.00993,32.5576,181.93
SAXPY,float32,4096,aligned,no,0.000251025,0.00024898,1.00821,32.9022,183.856
SAXPY,float32,4099,misaligned,yes,0.00037458,0.0003745,1.00021,21.8905,122.323
SAXPY,float32,4096,misaligned,no,0.00037326,0.00037352,0.999304,21.9319,122.554
SAXPY,float32,16387,aligned,yes,0.000152733,0.000156333,0.976972,20.9642,117.146
SAXPY,float32,16384,aligned,no,0.00015515,0.00015454,1.00395,21.2036,118.484
SAXPY,float32,16387,misaligned,yes,0.00020224,0.0002033,0.994786,16.121,90.0831
SAXPY,float32,16384,misaligned,no,0.00020344,0.0001997,1.01873,16.4086,91.6903
SAXPY,float32,65539,aligned,yes,0.00062226,0.00061856,1.00598,21.1908,118.413
SAXPY,float32,65536,aligned,no,0.00061575,0.000616175,0.99931,21.2719,118.866
SAXPY,float32,65539,misaligned,yes,0.000794525,0.00079952,0.993753,16.3946,91.6119
SAXPY,float32,65536,misaligned,no,0.00080744,0.00080336,1.00508,16.3155,91.1698
