Kernel,DataType,Size,Alignment,HasTail,ScalarTime,SIMDTime,Speedup,GFLOPs,BandwidthGBs
SAXPY,float32,1027,aligned,yes,6.37e-05,6.38e-05,0.998433,32.1944,179.9
SAXPY,float32,1024,aligned,no,6.19e-05,6.18e-05,1.00162,33.1392,185.179
SAXPY,float32,1027,misaligned,yes,9.318e-05,9.256e-05,1.0067,22.191,124.002
SAXPY,float32,1024,misaligned,no,9.248e-05,9.02e-05,1.02528,22.7051,126.875
SAXPY,float32,4099,aligned,yes,0.00024345,0.00024438,0.996194,33.5461,187.454
SAXPY,float32,4096,aligned,no,0.00024594,0.00024728,0.994581,33.1284,185.12
SAXPY,float32,4099,misaligned,yes,0.0003689,0.000368575,1.00088,22.2424,124.289
SAXPY,float32,4096,misaligned,no,0.000367575,0.00036758,0.999986,22.2863,124.534
SAXPY,float32,16387,aligned,yes,0.0001533,0.000153167,1.00087,21.3976,119.568
SAXPY,float32,16384,aligned,no,0.00015292,0.00015344,0.996611,21.3556,119.334
SAXPY,float32,16387,misaligned,yes,0.00020125,0.00020095,1.00149,16.3095,91.1366
SAXPY,float32,16384,misaligned,no,0.0002012,0.000200967,1.00116,16.3052,91.1124
SAXPY,float32,65539,aligned,yes,0.000611967,0.00061224,0.999554,21.4096,119.635
SAXPY,float32,65536,aligned,no,0.0006114,0.000612275,0.998571,21.4074,119.623
SAXPY,float32,65539,misaligned,yes,0.0008051,0.0008042,1.00112,16.2992,91.0788
SAXPY,float32,65536,misaligned,no,0.000804425,0.0008041,1.0004,16.3005,91.0859
