Kernel,DataType,Size,ScalarTime,SIMDTime,Speedup,GFLOPs,BandwidthGBs
SAXPY,float32,1024,6.02e-05,6.02e-05,1,34.0199,190.101
DOT_PRODUCT,float32,1024,7.8e-05,7.51e-05,1.03862,27.2703,101.59
ELEMENTWISE_MULTIPLY,float32,1024,5.8675e-05,5.82667e-05,1.00701,17.5744,196.409
STENCIL_3POINT,float32,1024,0.000189067,0.0001892,0.999295,27.0613,80.649
SAXPY,float32,4096,0.0002326,0.0002329,0.998712,35.1739,196.549
DOT_PRODUCT,float32,4096,0.00042428,0.000422467,1.00429,19.3909,72.2367
ELEMENTWISE_MULTIPLY,float32,4096,0.00032266,0.0003173,1.01689,12.9089,144.268
STENCIL_3POINT,float32,4096,0.001054,0.00098844,1.06633,20.7195,61.749
SAXPY,float32,16384,0.00015585,0.000154425,1.00923,21.2194,118.572
DOT_PRODUCT,float32,16384,0.00019776,0.00019934,0.992074,16.4382,61.2372
ELEMENTWISE_MULTIPLY,float32,16384,0.000232367,0.000216367,1.07395,7.57233,84.6274
STENCIL_3POINT,float32,16384,0.00040264,0.000353625,1.13861,23.1658,69.0394
SAXPY,float32,65536,0.0006069,0.00063398,0.957286,20.6745,115.528
DOT_PRODUCT,float32,65536,0.00078096,0.00078328,0.997038,16.7337,62.338
ELEMENTWISE_MULTIPLY,float32,65536,0.000684075,0.00067885,1.0077,9.65397,107.892
STENCIL_3POINT,float32,65536,0.00128133,0.00127595,1.00421,25.6813,76.5361
SAXPY,float32,262144,0.00393582,0.00388428,1.01327,13.4977,75.4243
DOT_PRODUCT,float32,262144,0.00356703,0.0035933,0.992688,14.5907,54.3546
ELEMENTWISE_MULTIPLY,float32,262144,0.00565406,0.0055821,1.01289,4.69615,52.4836
STENCIL_3POINT,float32,262144,0.00430742,0.0043226,0.996488,30.3225,90.3681
SAXPY,float32,1048576,0.016379,0.0165807,0.987835,12.6482,70.6771
DOT_PRODUCT,float32,1048576,0.0151805,0.015359,0.988377,13.6542,50.866
ELEMENTWISE_MULTIPLY,float32,1048576,0.0246333,0.024243,1.0161,4.32527,48.3386
STENCIL_3POINT,float32,1048576,0.0180516,0.0181226,0.996082,28.93,86.2182
SAXPY,float64,1024,0.000126567,0.000123467,1.02511,16.5875,185.379
DOT_PRODUCT,float64,1024,0.00019928,0.00019988,0.996998,10.2461,76.3397
ELEMENTWISE_MULTIPLY,float64,1024,0.000121533,0.0001244,0.976956,8.23151,183.989
STENCIL_3POINT,float64,1024,0.000391,0.00038992,1.00277,13.1309,78.2663
SAXPY,float64,4096,0.0006671,0.000667025,1.00011,12.2814,137.255
DOT_PRODUCT,float64,4096,0.00090898,0.00090118,1.00866,9.0903,67.728
ELEMENTWISE_MULTIPLY,float64,4096,0.000838925,0.00084192,0.996443,4.86507,108.743
STENCIL_3POINT,float64,4096,0.00161487,0.001612,1.00178,12.7047,75.726
SAXPY,float64,16384,0.000297375,0.00029728,1.00032,11.0226,123.187
DOT_PRODUCT,float64,16384,0.000378,0.00037902,0.997309,8.64545,64.4137
ELEMENTWISE_MULTIPLY,float64,16384,0.00034328,0.0003383,1.01472,4.84304,108.25
STENCIL_3POINT,float64,16384,0.000662175,0.000660425,1.00265,12.4041,73.9344
SAXPY,float64,65536,0.000890967,0.000879175,1.01341,14.9085,166.616
DOT_PRODUCT,float64,65536,0.00151738,0.00150796,1.00625,8.69201,64.7605
ELEMENTWISE_MULTIPLY,float64,65536,0.00246902,0.00247032,0.999474,2.65294,59.2977
STENCIL_3POINT,float64,65536,0.00140686,0.0014187,0.991654,23.0972,137.67
SAXPY,float64,262144,0.00809956,0.00810636,0.999161,6.46761,72.2812
DOT_PRODUCT,float64,262144,0.00752823,0.00757152,0.994283,6.92447,51.5914
ELEMENTWISE_MULTIPLY,float64,262144,0.0118401,0.0121938,0.97099,2.14981,48.052
STENCIL_3POINT,float64,262144,0.00874122,0.00877712,0.99591,14.9334,89.0098
SAXPY,float64,1048576,0.0362352,0.0363719,0.996241,5.76585,64.4384
DOT_PRODUCT,float64,1048576,0.0316278,0.0334882,0.944446,6.26236,46.6583
ELEMENTWISE_MULTIPLY,float64,1048576,0.0661747,0.0673688,0.982275,1.55647,34.7898
STENCIL_3POINT,float64,1048576,0.0357637,0.0357224,1.00116,14.6767,87.4802
