Kernel,DataType,Size,ScalarTime,SIMDTime,Speedup,GFLOPs,BandwidthGBs
SAXPY,float32,1024,6.19e-05,6.19e-05,1,33.0856,184.88
DOT_PRODUCT,float32,1024,8.0475e-05,8.0625e-05,0.99814,25.4016,94.6281
ELEMENTWISE_MULTIPLY,float32,1024,6.19e-05,6.245e-05,0.991193,16.3971,183.252
STENCIL_3POINT,float32,1024,0.0001993,0.00019982,0.997398,25.6231,76.3627
SAXPY,float32,4096,0.0002462,0.00024726,0.995713,33.1311,185.135
DOT_PRODUCT,float32,4096,0.0004471,0.000444675,1.00545,18.4224,68.6289
ELEMENTWISE_MULTIPLY,float32,4096,0.000246425,0.0002484,0.992049,16.4895,184.285
STENCIL_3POINT,float32,4096,0.00079325,0.000792775,1.0006,25.8333,76.9893
SAXPY,float32,16384,0.0001528,0.000152867,0.999564,21.4357,119.781
DOT_PRODUCT,float32,16384,0.000187325,0.00018674,1.00313,17.5474,65.3691
ELEMENTWISE_MULTIPLY,float32,16384,0.00017016,0.00016966,1.00295,9.65696,107.925
STENCIL_3POINT,float32,16384,0.00032788,0.00033192,0.987828,24.6806,73.5541
SAXPY,float32,65536,0.00060875,0.000612525,0.993837,21.3986,119.574
DOT_PRODUCT,float32,65536,0.0007798,0.00077654,1.0042,16.879,62.8791
ELEMENTWISE_MULTIPLY,float32,65536,0.0006876,0.000687975,0.999455,9.52593,106.461
STENCIL_3POINT,float32,65536,0.00125104,0.00124175,1.00748,26.3886,78.6441
SAXPY,float32,262144,0.0038981,0.0038633,1.00901,13.571,75.8338
DOT_PRODUCT,float32,262144,0.00363975,0.00364728,0.997935,14.3748,53.5502
ELEMENTWISE_MULTIPLY,float32,262144,0.0057075,0.00573832,0.994629,4.56831,51.0548
STENCIL_3POINT,float32,262144,0.00410597,0.00412572,0.995212,31.7695,94.6804
SAXPY,float32,1048576,0.0152718,0.0152032,1.00452,13.7942,77.0811
DOT_PRODUCT,float32,1048576,0.0143129,0.0142421,1.00498,14.7251,54.8551
ELEMENTWISE_MULTIPLY,float32,1048576,0.0230773,0.0244077,0.945489,4.29608,48.0124
STENCIL_3POINT,float32,1048576,0.0175972,0.0176327,0.997984,29.7338,88.6138
SAXPY,float64,1024,0.0001152,0.000115267,0.999422,17.7675,198.567
DOT_PRODUCT,float64,1024,0.0001898,0.000186675,1.01674,10.9709,81.7399
ELEMENTWISE_MULTIPLY,float64,1024,0.000115867,0.0001159,0.999712,8.8352,197.482
STENCIL_3POINT,float64,1024,0.000360467,0.000362067,0.995581,14.141,84.2872
SAXPY,float64,4096,0.00065636,0.0006562,1.00024,12.484,139.52
DOT_PRODUCT,float64,4096,0.000855025,0.000855033,0.99999,9.58091,71.3834
ELEMENTWISE_MULTIPLY,float64,4096,0.000803125,0.000803325,0.999751,5.09881,113.967
STENCIL_3POINT,float64,4096,0.00150915,0.00150744,1.00113,13.5859,80.9786
SAXPY,float64,16384,0.0002792,0.000281375,0.99227,11.6457,130.15
DOT_PRODUCT,float64,16384,0.000353267,0.0003533,0.999906,9.27484,69.1029
ELEMENTWISE_MULTIPLY,float64,16384,0.00032145,0.0003233,0.994278,5.06774,113.273
STENCIL_3POINT,float64,16384,0.0006176,0.00061916,0.99748,13.2308,78.8619
SAXPY,float64,65536,0.000808825,0.000804433,1.00546,16.2937,182.096
DOT_PRODUCT,float64,65536,0.0014628,0.00146847,0.996135,8.92572,66.5018
ELEMENTWISE_MULTIPLY,float64,65536,0.0025309,0.00249902,1.01276,2.62247,58.6167
STENCIL_3POINT,float64,65536,0.0012937,0.0012938,0.999923,25.3269,150.96
SAXPY,float64,262144,0.00790016,0.00794214,0.994714,6.60134,73.7758
DOT_PRODUCT,float64,262144,0.00739843,0.00740793,0.998718,7.07739,52.7307
ELEMENTWISE_MULTIPLY,float64,262144,0.0109899,0.0110051,0.998614,2.38202,53.2424
STENCIL_3POINT,float64,262144,0.00823473,0.00822868,1.00074,15.9287,94.9424
SAXPY,float64,1048576,0.0322951,0.0334187,0.966379,6.27539,70.133
DOT_PRODUCT,float64,1048576,0.0301821,0.0299873,1.0065,6.99348,52.1055
ELEMENTWISE_MULTIPLY,float64,1048576,0.0610784,0.0631924,0.966546,1.65934,37.0891
STENCIL_3POINT,float64,1048576,0.0366481,0.0382198,0.958878,13.7177,81.7639
