Kernel,DataType,Size,VectorWidth,ScalarTime,SIMDTime,Speedup,GFLOPs,BandwidthGBs,ArithmeticIntensity
SAXPY,float32,1024,8,6.19e-05,6.18667e-05,1.00054,33.1034,184.98,0.166667
SAXPY,float32,4096,8,0.000249533,0.00025048,0.996221,32.7052,182.755,0.166667
SAXPY,float32,16384,8,0.000152867,0.000156767,0.975122,20.9024,116.801,0.166667
SAXPY,float32,65536,8,0.00061685,0.000616875,0.999959,21.2477,118.731,0.166667
SAXPY,float32,262144,8,0.00446913,0.00438984,1.01806,11.9432,66.7379,0.166667
SAXPY,float64,1024,4,0.0001205,0.0001206,0.999171,16.9818,189.786,0.0833333
SAXPY,float64,4096,4,0.00052972,0.00054004,0.98089,15.1692,169.53,0.0833333
SAXPY,float64,16384,4,0.00030618,0.000301025,1.01712,10.8855,121.655,0.0833333
SAXPY,float64,65536,4,0.00089336,0.000891267,1.00235,14.7063,164.355,0.0833333
SAXPY,float64,262144,4,0.00871677,0.0081811,1.06548,6.40853,71.6209,0.0833333
SAXPY,int32,1024,8,6.74667e-05,6.49e-05,1.03955,31.5562,176.334,0.166667
SAXPY,int32,4096,8,0.00024286,0.00023884,1.01683,34.2991,191.661,0.166667
SAXPY,int32,16384,8,0.0001424,0.00014392,0.989439,22.7682,127.227,0.166667
SAXPY,int32,65536,8,0.0005737,0.00058108,0.9873,22.5566,126.045,0.166667
SAXPY,int32,262144,8,0.00439028,0.0044287,0.991325,11.8384,66.1523,0.166667
