Kernel,DataType,Size,VectorWidth,ScalarTime,SIMDTime,Speedup,GFLOPs,BandwidthGBs,ArithmeticIntensity
SAXPY,float32,1024,8,6.19e-05,6.18e-05,1.00162,33.1392,185.179,0.166667
SAXPY,float32,4096,8,0.00024645,0.0002464,1.0002,33.2468,185.781,0.166667
SAXPY,float32,16384,8,0.00015252,0.00015232,1.00131,21.5126,120.211,0.166667
SAXPY,float32,65536,8,0.00061176,0.000612025,0.999567,21.4161,119.672,0.166667
SAXPY,float32,262144,8,0.00430812,0.00426257,1.01069,12.2998,68.7306,0.166667
SAXPY,float64,1024,4,0.000123633,0.0001237,0.999461,16.5562,185.03,0.0833333
SAXPY,float64,4096,4,0.0005541,0.00055086,1.00588,14.8713,166.2,0.0833333
SAXPY,float64,16384,4,0.00030516,0.00030528,0.999607,10.7338,119.959,0.0833333
SAXPY,float64,65536,4,0.00088344,0.00087838,1.00576,14.922,166.767,0.0833333
SAXPY,float64,262144,4,0.00827888,0.00799882,1.03501,6.55457,73.253,0.0833333
SAXPY,int32,1024,8,6.39e-05,6.33e-05,1.00948,32.3539,180.791,0.166667
SAXPY,int32,4096,8,0.000230867,0.00023304,0.990674,35.1528,196.431,0.166667
SAXPY,int32,16384,8,0.0001411,0.00014284,0.987819,22.9404,128.189,0.166667
SAXPY,int32,65536,8,0.00057362,0.000570925,1.00472,22.9578,128.287,0.166667
SAXPY,int32,262144,8,0.00439468,0.00427304,1.02847,12.2697,68.5621,0.166667
