Kernel,DataType,Size,ScalarTime,SIMDTime,Speedup,GFLOPs,BandwidthGBs,CacheLevel
SAXPY,float32,1024,6.185e-05,6.39e-05,0.967919,32.0501,179.094,L1
SAXPY,float32,2048,0.000124525,0.000126633,0.983351,32.3454,180.744,L1
SAXPY,float32,4096,0.00018378,0.00018536,0.991476,44.1951,246.959,L1
SAXPY,float32,8192,0.00072485,0.0007285,0.99499,22.49,125.673,L1
SAXPY,float32,16384,0.00154917,0.00154535,1.00247,21.2043,118.488,L1
SAXPY,float32,32768,0.00155098,0.001554,0.998057,21.0862,117.828,L1
SAXPY,float32,65536,0.00311526,0.003112,1.00105,21.0591,117.677,L2
SAXPY,float32,131072,0.0044712,0.00445327,1.00403,29.4327,164.468,L2
SAXPY,float32,262144,0.00451417,0.00438618,1.02918,11.9532,66.7936,L2
SAXPY,float32,524288,0.00868018,0.0084023,1.03307,12.4796,69.7354,L3
SAXPY,float32,1048576,0.0166169,0.0162696,1.02135,12.89,72.0287,L3
SAXPY,float32,2097152,0.0169315,0.0178921,0.946309,11.7211,65.4968,L3
SAXPY,float32,4194304,0.0697491,0.0700211,0.996115,5.99006,33.472,L3
SAXPY,float32,8388608,0.177199,0.170496,1.03931,4.92011,27.4933,L3
SAXPY,float32,16777216,0.382193,0.378062,1.01093,4.43769,24.7975,DRAM
SAXPY,float32,33554432,0.790211,0.792377,0.997267,4.23466,23.663,DRAM
SAXPY,float32,67108864,1.60216,1.60141,1.00047,4.19061,23.4169,DRAM
