Kernel,DataType,Size,ScalarTime,SIMDTime,Speedup,GFLOPs,BandwidthGBs,CacheLevel
SAXPY,float32,256,1.6975e-05,1.84e-05,0.922554,27.8261,155.49,L1
SAXPY,float32,512,2.81e-05,2.98667e-05,0.940848,34.2857,191.586,L1
SAXPY,float32,1024,5.106e-05,5.13e-05,0.995322,39.922,223.082,L1
SAXPY,float32,2048,0.0001235,0.000123575,0.999393,33.1459,185.217,L1
SAXPY,float32,4096,0.0002461,0.00024688,0.996841,33.1821,185.42,L1
SAXPY,float32,8192,0.00067652,0.0006762,1.00047,24.2295,135.393,L1
SAXPY,float32,16384,0.0015223,0.00152376,0.999042,21.5047,120.167,L1
SAXPY,float32,32768,0.00152248,0.00152253,0.999967,21.5221,120.264,L1
SAXPY,float32,65536,0.00303276,0.00304653,0.995482,21.5117,120.206,L2
SAXPY,float32,131072,0.0043464,0.00427736,1.01614,30.6432,171.232,L2
SAXPY,float32,262144,0.00437034,0.0043607,1.00221,12.023,67.1839,L2
SAXPY,float32,524288,0.00819812,0.00806306,1.01675,13.0047,72.6694,L3
SAXPY,float32,1048576,0.0156827,0.0152322,1.02958,13.7679,76.9342,L3
SAXPY,float32,2097152,0.0171761,0.017203,0.998441,12.1907,68.1206,L3
SAXPY,float32,4194304,0.0628057,0.0618276,1.01582,6.78387,37.9078,L3
SAXPY,float32,8388608,0.157521,0.172719,0.912004,4.85678,27.1394,L3
SAXPY,float32,16777216,0.363236,0.35898,1.01186,4.67358,26.1156,DRAM
SAXPY,float32,33554432,0.768221,0.774583,0.991787,4.33194,24.2066,DRAM
SAXPY,float32,67108864,1.57385,1.56864,1.00332,4.27817,23.9061,DRAM
