Kernel,DataType,Size,Stride,ScalarTime,SIMDTime,Speedup,GFLOPs,BandwidthGBs,Efficiency
SAXPY,float32,8192,1,0.0006789,0.00068112,0.996741,24.0545,134.415,1
SAXPY,float32,8192,2,0.00211588,0.00210405,1.00562,7.78689,43.5126,1
SAXPY,float32,8192,4,0.001072,0.00109178,0.981883,15.0067,83.8564,1
SAXPY,float32,8192,8,0.000686325,0.0006822,1.00605,24.0164,134.202,1
SAXPY,float32,8192,16,0.0004307,0.000434775,0.990627,37.6839,210.575,1
SAXPY,float32,32768,1,0.00030238,0.00030674,0.985786,21.3653,119.388,1
SAXPY,float32,32768,2,0.000845325,0.00083912,1.00739,7.81009,43.6423,1
SAXPY,float32,32768,4,0.0004559,0.0004585,0.994329,14.2936,79.8715,1
SAXPY,float32,32768,8,0.000308125,0.00030808,1.00015,21.2724,118.869,1
SAXPY,float32,32768,16,0.000211833,0.0002141,0.989413,30.61,171.047,1
SAXPY,float32,131072,1,0.0009204,0.0009159,1.00491,28.6215,159.935,1
SAXPY,float32,131072,2,0.0023856,0.0023626,1.00974,11.0956,62.0013,1
SAXPY,float32,131072,4,0.00156152,0.00155168,1.00634,16.8942,94.4037,1
SAXPY,float32,131072,8,0.00117675,0.00117027,1.00554,22.4004,125.172,1
SAXPY,float32,131072,16,0.000865525,0.00086542,1.00012,30.291,169.264,1
